id,dino,pasaran,wuku
,Selasa,Wage,Sinto
,Kamis,Legi,Sinto
,Jumat,Pahing,Sinto
,Rabu,Pahing,Landep
,Sabtu,Kliwon,Landep
,Selasa,Pon,Wukir
,Jumat,Legi,Wukir
,Senin,Wage,Kurantil
,Kamis,Pahing,Kurantil
,Minggu,Kliwon,Tolu
,Rabu,Pon,Tolu
,Sabtu,Legi,Tolu
,Selasa,Wage,Gumbreg
,Kamis,Legi,Gumbreg
,Jumat,Pahing,Gumbreg
,Rabu,Pahing,Warigalit
,Sabtu,Kliwon,Warigalit
,Selasa,Pon,Wariagung
,Jumat,Legi,Wariagung
,Senin,Wage,Julungwangi
,Kamis,Pahing,Julungwangi
,Minggu,Kliwon,Sungsang
,Rabu,Pon,Sungsang
,Sabtu,Legi,Sungsang
,Selasa,Wage,Galungan
,Kamis,Legi,Galungan
,Jumat,Pahing,Galungan
,Rabu,Pahing,Kuningan
,Sabtu,Kliwon,Kuningan
,Selasa,Pon,Langkir
,Jumat,Legi,Langkir
,Senin,Wage,Mandasiya
,Kamis,Pahing,Mandasiya
,Minggu,Kliwon,Julungpujut
,Rabu,Pon,Julungpujut
,Sabtu,Legi,Julungpujut
,Selasa,Wage,Pahang
,Kamis,Legi,Pahang
,Jumat,Pahing,Pahang
,Rabu,Pahing,Kuruwelut
,Sabtu,Kliwon,Kuruwelut
,Selasa,Pon,Marakeh
,Jumat,Legi,Marakeh
,Senin,Wage,Tambir
,Kamis,Pahing,Tambir
,Minggu,Kliwon,Madangkungan
,Rabu,Pon,Madangkungan
,Sabtu,Legi,Madangkungan
,Selasa,Wage,Maktal
,Kamis,Legi,Maktal
,Jumat,Pahing,Maktal
,Rabu,Pahing,Wuye
,Sabtu,Kliwon,Wuye
,Selasa,Pon,Manahil
,Senin,Wage,Prangbakat
,Kamis,Pahing,Prangbakat
,Minggu,Kliwon,Bala
,Rabu,Pon,Bala
,Sabtu,Legi,Bala
,Selasa,Wage,Wugu
,Kamis,Legi,Wugu
,Jumat,Pahing,Wugu
,Rabu,Pahing,Wayang
,Sabtu,Kliwon,Wayang
,Selasa,Pon,Kulawu
,Jumat,Legi,Kulawu
,Senin,Wage,Dukut
,Kamis,Pahing,Dukut
,Minggu,Kliwon,Watugunung
,Rabu,Pon,Watugunung
,Sabtu,Legi,Watugunung
